n_gut,treatment_type,gut_type,ovary_type,stains,length(µm),area(µm^2),ph3_ant,ph3_post,dl_r1_dapi,dl_r1,dl_r1_prop,dl_r2_dapi,dl_r2,dl_r2_prop,dl_r3_dapi,dl_r3,dl_r3_prop,dl_r4_dapi,dl_r4,dl_r4_prop,dl_r5_dapi,dl_r5,dl_r5_prop
35,c_jh,lumen_over,a_lot_yolk,,,,,,,,,,,,,,,,,,,,
71,c_jh,lumen_over,a_lot_yolk,,,,,,,,,,,,,,,,,,,,
21,d_etoh,lumen_over,no_yolk,,,,,,,,,,,,,,,,,,,,
34,d_etoh,lumen_over,no_yolk,,,,,,,,,,,,,,,,,,,,
52,d_etoh,lumen_over,no_yolk,,,,,,,,,,,,,,,,,,,,
66,d_etoh,lumen_over,no_yolk,,,,,,,,,,,,,,,,,,,,
84,d_etoh,lumen_over,no_yolk,,,,,,,,,,,,,,,,,,,,
86,d_etoh,lumen_over,no_yolk,,,,,,,,,,,,,,,,,,,,
88,d_etoh,lumen_over,no_yolk,,,,,,,,,,,,,,,,,,,,
91,d_etoh,lumen_over,no_yolk,,,,,,,,,,,,,,,,,,,,
93,d_etoh,lumen_over,no_yolk,,,,,,,,,,,,,,,,,,,,
100,d_etoh,lumen_over,no_yolk,,,,,,,,,,,,,,,,,,,,
102,d_etoh,lumen_over,no_yolk,,,,,,,,,,,,,,,,,,,,
1,d_jh,lumen_over,some_yolk,,,,,,,,,,,,,,,,,,,,
5,d_jh,lumen_over,a_lot_yolk,,,,,,,,,,,,,,,,,,,,
13,d_jh,lumen_over,some_yolk,,,,,,,,,,,,,,,,,,,,
24,d_jh,lumen_over,some_yolk,,,,,,,,,,,,,,,,,,,,
26,d_jh,lumen_over,a_lot_yolk,,,,,,,,,,,,,,,,,,,,
44,d_jh,lumen_over,some_yolk,,,,,,,,,,,,,,,,,,,,
51,d_jh,lumen_over,no_yolk,,,,,,,,,,,,,,,,,,,,
58,d_jh,lumen_over,no_yolk,,,,,,,,,,,,,,,,,,,,
77,d_jh,lumen_over,a_lot_yolk,,,,,,,,,,,,,,,,,,,,
79,d_jh,lumen_over,no_yolk,,,,,,,,,,,,,,,,,,,,
81,d_jh,lumen_over,some_yolk,,,,,,,,,,,,,,,,,,,,
87,d_jh,lumen_over,some_yolk,,,,,,,,,,,,,,,,,,,,
92,d_jh,lumen_over,a_lot_yolk,,,,,,,,,,,,,,,,,,,,
97,d_jh,lumen_over,some_yolk,,,,,,,,,,,,,,,,,,,,
99,d_jh,lumen_over,a_lot_yolk,,,,,,,,,,,,,,,,,,,,
103,d_jh,lumen_over,a_lot_yolk,,,,,,,,,,,,,,,,,,,,
